"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","fitness","num-replicates","best-fitness-so-far"
"1","7","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.595082","7","0.595082"
"1","14","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.820219","7","0.595082"
"1","21","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","1.006557","7","0.595082"
"1","28","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","1.104372","7","0.595082"
"1","35","0.155","0.435","0.885","0.55","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","0.338251","7","0.338251"
"1","42","0.495","0.495","0.665","0.6000000000000001","0.25","0.1","3","1.05","0.1","0","false","100","105","true","false","1.05847","7","0.338251"
"1","49","0.085","0.205","0.825","0.2","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.768306","7","0.338251"
"1","56","0.215","0.195","0.505","0.30000000000000004","0","0.1","3","1.05","0.1","0","false","100","105","true","false","1.40765","7","0.338251"
"1","63","0.185","0.245","0.725","0.9","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","1.068306","7","0.338251"
"1","70","0.435","0.325","0.895","0","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","0.600546","7","0.338251"
"1","77","0.055","0.7050000000000001","0.885","0.15000000000000002","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.712568","7","0.338251"
"1","84","0.045","0.28500000000000003","0.855","0.7000000000000001","1","0.1","3","1.05","0.1","0","false","100","105","true","false","0.565027","7","0.338251"
"1","91","0.445","0.675","0.775","0.35000000000000003","0","0.1","3","1.05","0.1","0","false","100","105","true","false","0.260656","7","0.260656"
"1","98","0.265","0.485","0.885","0.75","0.25","0.1","3","1.05","0.1","0","false","100","105","true","false","0.277049","7","0.260656"
"1","105","0.275","0.5750000000000001","0.925","0.9500000000000001","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","0.464481","7","0.260656"
"1","112","0.28500000000000003","0.895","0.725","0.75","0","0.1","3","1.05","0.1","0","false","100","105","true","false","0.90929","7","0.260656"
"1","119","0.435","0.935","0.725","0.4","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","0.405464","7","0.260656"
"1","126","0.335","0.7450000000000001","0.895","0.8500000000000001","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","0.159016","7","0.159016"
"1","133","0.275","0.895","0.715","0.4","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","0.742623","7","0.159016"
"1","140","0.495","0.535","0.675","0.4","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","0.769945","7","0.159016"
"1","147","0.395","0.255","0.7050000000000001","0.4","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.845355","7","0.159016"
"1","154","0.395","0.8550000000000001","0.595","0.35000000000000003","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","0.381967","7","0.159016"
"1","161","0.275","0.185","0.765","0.35000000000000003","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","0.442077","7","0.159016"
"1","168","0.28500000000000003","0.435","0.7050000000000001","0.75","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.968306","7","0.159016"
"1","175","0.125","0.465","0.855","0.25","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","0.454645","7","0.159016"
"1","182","0.435","0.6150000000000001","0.785","0.75","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","0.808743","7","0.159016"
"1","189","0.28500000000000003","0.805","0.605","0.5","0.7000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.027869","7","0.159016"
"1","196","0.365","0.465","0.755","0.55","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.983607","7","0.159016"
"1","203","0.085","0.445","0.7050000000000001","0.15000000000000002","0.7000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.437158","7","0.159016"
"1","210","0.155","0.385","0.635","0.2","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","0.326776","7","0.159016"
"1","217","0.125","0.775","0.815","0.1","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","1.880874","7","0.159016"
"1","224","0.28500000000000003","0.8150000000000001","0.585","0.55","0.75","0.1","3","1.05","0.1","0","false","100","105","true","false","1.06612","7","0.159016"
"1","231","0.28500000000000003","0.205","0.505","0.30000000000000004","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","0.685792","7","0.159016"
"1","238","0.055","0.375","0.855","0.1","0.7000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.519672","7","0.159016"
"1","245","0.485","0.11499999999999999","0.995","0.2","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","0.840984","7","0.159016"
"1","252","0.34500000000000003","0.335","0.825","0.6000000000000001","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","0.713661","7","0.159016"
"1","259","0.375","0.28500000000000003","0.605","1","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.048634","7","0.159016"
"1","266","0.385","0.8550000000000001","0.845","0.7000000000000001","0","0.1","3","1.05","0.1","0","false","100","105","true","false","0.303279","7","0.159016"
"1","273","0.405","0.275","0.9450000000000001","1","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.584153","7","0.159016"
"1","280","0.065","0.8450000000000001","0.6950000000000001","0","0.25","0.1","3","1.05","0.1","0","false","100","105","true","false","1.736066","7","0.159016"
"1","287","0.10500000000000001","0.545","0.585","0.75","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.142623","7","0.159016"
"1","294","0.115","0.805","0.9650000000000001","0.9","0.7000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.468852","7","0.159016"
"1","301","0.17500000000000002","0.145","0.535","0.1","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.428962","7","0.159016"
"1","308","0.495","0.6150000000000001","0.895","0.2","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","1.772678","7","0.159016"
"1","315","0.165","0.645","0.545","0.05","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","0.371585","7","0.159016"
"1","322","0.07500000000000001","0.555","0.645","0.6000000000000001","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","1.103279","7","0.159016"
"1","329","0.085","0.465","0.635","0.4","0.75","0.1","3","1.05","0.1","0","false","100","105","true","false","0.919672","7","0.159016"
"1","336","0.165","0.235","0.925","0.1","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","0.797814","7","0.159016"
"1","343","0.045","0.175","0.9550000000000001","0.65","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","0.701639","7","0.159016"
"1","350","0.445","0.7250000000000001","0.985","1","0","0.1","3","1.05","0.1","0","false","100","105","true","false","0.563388","7","0.159016"
